# EPyR Tools Export - Slice 1 of Rabi2D_GdCaWO4_13dB_3057G
# Original file: Rabi2D_GdCaWO4_13dB_3057G.DSC
# Data type: 2D Complex
# Full shape: (500, 1024)
# Slice index: 0
# Frequency: 9621228000.0
#
Field_G,Intensity
404.0,210007.1626326112
406.0,212273.7234916277
408.0,213298.2952065018
410.0,214627.17215907216
412.0,215508.1460038112
414.0,215788.86214306796
416.0,214449.32993366988
418.0,212281.04895633055
420.0,209398.6198450219
422.0,206460.34377574793
424.0,204874.96978645294
426.0,204064.4391411693
428.0,206415.41752737368
430.0,206507.18340290248
432.0,207859.74456349167
434.0,209870.43475678036
436.0,212315.71469158845
438.0,212904.44609025898
440.0,210926.52772470322
442.0,209748.03383345454
444.0,208534.4046554429
446.0,211367.70883935888
448.0,212123.5874908776
450.0,212938.48614329915
452.0,214697.1816163407
454.0,214655.4429615052
456.0,215024.79635614122
458.0,212273.83029709526
460.0,209818.71716793996
462.0,207127.8992941318
464.0,205883.5160400172
466.0,206090.69683272945
468.0,206539.33373815264
470.0,207876.45167502738
472.0,208601.82022216395
474.0,209525.58682175312
476.0,212417.13827514014
478.0,212339.23899505712
480.0,210304.51733141634
482.0,208892.78465519098
484.0,207496.60103240245
486.0,209966.9914176988
488.0,211090.9666399773
490.0,212507.63233587635
492.0,213293.2149999151
494.0,214627.65490495393
496.0,214740.98133565468
498.0,211960.5538820844
500.0,209193.3973551747
502.0,206199.44628926626
504.0,204662.1673539103
506.0,205838.52749181818
508.0,206750.34682679494
510.0,206853.6224604249
512.0,208963.36658132213
514.0,209577.9265690927
516.0,212361.84509464027
518.0,212892.81778867036
520.0,211032.3631886825
522.0,209526.59270364707
524.0,208119.9608999579
526.0,209905.04837187697
528.0,211876.6681114275
530.0,211990.42429789135
532.0,213619.83183449987
534.0,213842.58895739174
536.0,214140.41205013127
538.0,212283.7609639513
540.0,209085.55097136673
542.0,207045.35984658045
544.0,205654.83042467054
546.0,205757.63968805628
548.0,207032.53427903546
550.0,207657.02801013022
552.0,209511.8775869282
554.0,210511.66453429605
556.0,212088.46507295017
558.0,213528.0999774971
560.0,210644.7673905051
562.0,208890.4126569719
564.0,208013.80035949536
566.0,210067.52172099333
568.0,211353.48023630932
570.0,211653.45245943902
572.0,213002.13383203465
574.0,214653.65143411842
576.0,214257.05407290562
578.0,211508.52029410066
580.0,208798.09609285236
582.0,206169.56046177138
584.0,204880.7601801594
586.0,205508.9150183028
588.0,206620.99996370167
590.0,207233.97275784682
592.0,208878.32534995105
594.0,210204.01501874317
596.0,212075.28863589928
598.0,212517.9145883942
600.0,210125.6090651494
602.0,209945.90198667845
604.0,208335.61099821606
606.0,209766.3407937508
608.0,210739.24762369253
610.0,212334.58560724393
612.0,213514.96397676677
614.0,214746.07988273035
616.0,214596.5604314291
618.0,211702.94515901283
620.0,209441.24674237403
622.0,206677.81294081858
624.0,204808.85044352943
626.0,205625.01296534916
628.0,206904.22587516185
630.0,207272.96415355284
632.0,208198.81815226522
634.0,209709.40992716566
636.0,212277.36487199948
638.0,212350.3431619549
640.0,210177.00196025256
642.0,208221.12654819636
644.0,207445.57566021982
646.0,210113.5645692586
648.0,211447.3802438801
650.0,212204.45258523672
652.0,214122.22346360967
654.0,214165.32271355228
656.0,213803.34923475827
658.0,211856.84209862092
660.0,209205.43409051304
662.0,206912.95259842966
664.0,204779.01051865643
666.0,206142.58206639404
668.0,206779.26279005833
670.0,206892.27365225603
672.0,208634.42189629207
674.0,210163.60924051527
676.0,211956.7608853277
678.0,212730.06625768723
680.0,210694.7028475087
682.0,208752.63833063285
684.0,208303.4638718233
686.0,210182.62147475465
688.0,211220.40844814215
690.0,211678.45699787216
692.0,213730.5099090909
694.0,213979.83158466124
696.0,214457.05755698503
698.0,211982.46931763014
700.0,209575.17195746253
702.0,206393.24208413414
704.0,205545.88187069088
706.0,205690.7137062828
708.0,206796.99333404243
710.0,207428.3778199116
712.0,208912.25262774798
714.0,210433.62518856153
716.0,212614.87176818086
718.0,212727.2993482501
720.0,210693.8589043354
722.0,208836.07731663607
724.0,207915.9476326912
726.0,210072.24955238614
728.0,211695.8788167592
730.0,211975.61038242112
732.0,213362.05782894013
734.0,214540.68510424776
736.0,214247.2281874377
738.0,212391.57068961093
740.0,208435.95497178505
742.0,206660.45917397938
744.0,204879.2890460136
746.0,205631.35256327037
748.0,206558.27675743232
750.0,206929.45555671866
752.0,207823.64826217442
754.0,210151.51775088374
756.0,211136.27639276013
758.0,212456.84762087572
760.0,210345.5106556829
762.0,209221.47773591505
764.0,207675.1563596378
766.0,209599.31347692912
768.0,211669.00572828323
770.0,212153.05377250642
772.0,213105.40366917025
774.0,213921.84816189297
776.0,213370.4337625061
778.0,211884.44081621472
780.0,209013.81560078752
782.0,206117.99660631287
784.0,204873.0760739439
786.0,204879.1512721585
788.0,206374.87564623755
790.0,207357.3726998874
792.0,208371.60069692798
794.0,210384.50540141974
796.0,211889.77134585803
798.0,212437.3469614041
800.0,210786.9660415463
802.0,208774.50570891073
804.0,207620.94481289695
806.0,209573.7767016666
808.0,210902.7828028829
810.0,211232.89064442593
812.0,213412.96567922016
814.0,213742.18276231762
816.0,213880.1143374484
818.0,212714.9834026743
820.0,208939.4360717957
822.0,206847.89963642365
824.0,204659.3294721743
826.0,205883.20184998098
828.0,206510.70335457192
830.0,207592.5970163676
832.0,207833.67594545402
834.0,210185.07698216828
836.0,212213.07060593608
838.0,212506.3998095116
840.0,210387.48438298318
842.0,208770.71779586334
844.0,207908.55551900694
846.0,209659.56331157422
848.0,210733.72002838083
850.0,212054.0020867326
852.0,212981.22869868134
854.0,214082.75093991106
